,Country,COVID Deaths Val (Rate),upper,lower,SDI mean value,Avg_PM25_2010_2019
0,Spain,10.472980693195073,11.087217234812822,9.876074329952967,0.766506025058573,10.995000000000001
1,Indonesia,10.159490506383984,20.825411318958167,3.3183289370996536,0.651926647922518,19.61
2,Mexico,57.01969616104186,70.94697344083018,44.1817286251881,0.660119061584711,21.268
3,Russian Federation,18.195048467081733,22.06936676812212,14.809403392571197,0.806011474298182,9.857000000000001
4,Chile,17.427140443783042,18.27550029366041,16.5827747118633,0.769213676196926,22.628
5,Afghanistan,67.64314663008975,90.4546793457522,51.0688912957526,0.32983006796412,67.013
6,South Africa,54.933362541418894,54.955219163982406,54.89835859062428,0.677166096009468,19.07
7,Bangladesh,18.63896205737572,25.122020218254107,15.987976926188765,0.483079169271683,49.53
8,Canada,11.392234347795462,12.087162161041146,10.701911422543082,0.871992631299453,7.188
9,India,18.61817241782217,19.67109573815916,17.52064923751279,0.568138149330912,54.54600000000001
10,Republic of Korea,0.2396678241008525,0.3786868434056902,0.1553300509547227,0.883717569055359,27.127
11,Ethiopia,24.108445879925178,26.069179771832285,22.386504697237346,0.353216349837522,22.129
12,Nigeria,18.01858161392797,19.728041993043835,16.611753592261444,0.496204741160216,55.2
13,Fiji,2.641566807886684,5.51776530910519,0.6545063574758788,0.671431490601499,7.272
14,Germany,3.46834901203918,3.8766124127608177,3.187288662373497,0.901438614019463,12.849
15,United States of America,33.359688397976925,34.66346005791911,32.05848855339078,0.860792773409847,8.421
16,Kenya,42.76239618865506,46.48391482470454,39.44860763706212,0.516136571818187,12.482
17,Japan,0.1896470243947765,0.2116848568071525,0.1706402244330183,0.869106879336459,12.625
18,Australia,0.231633684315919,0.2437596042066832,0.2173099434477786,0.842051314482691,7.478999999999999
19,Brazil,21.901328206611137,23.845813383266727,20.23479579227461,0.649201568351328,13.107
20,Romania,18.02352647984341,26.29257100085267,10.591083526781118,0.764276444363666,16.009999999999998
21,Italy,8.201798959897065,8.677591654210586,7.719719642393612,0.803635679966778,17.298000000000002
22,Saudi Arabia,17.390041538486138,20.61032534319353,13.67762303503422,0.810541860714478,57.003
23,China,0.3068649731953291,1.600954045747828,0.0698686573534908,0.713364584593745,49.782
24,Egypt,26.04384681687202,34.42690323695114,17.96811023175548,0.597363341129599,61.553999999999995
